c1,c2,c3,c4,t1-1,t1-2,t1-3,t1-4,t1-5,t2-1,t2-2,t2-3,t2-4,t2-5,t3-1,t3-2,t3-3,t3-4,t3-5,t4-1,t4-2,t4-3,t4-4,t4-5,t5-1,t5-2,t5-3,t5-4,t5-5,t6-1,t6-2,t6-3,t6-4,t6-5,t7-1,t7-2,t7-3,t7-4,t7-5,t8-1,t8-2,t8-3,t8-4,t8-5,t9-1,t9-2,t9-3,t9-4,t9-5,t10-1,t10-2,t10-3,t10-4,t10-5,result
23,3,0,0,21,42,30,5,65,45,73,71,47,27,46,48,51,33,49,24,41,69,26,31,10,61,6,63,64,52,28,8,25,62,12,29,44,1,7,43,32,13,53,22,68,9,4,67,70,72,50,66,11,2,1
10,27,0,0,50,31,43,29,45,42,9,62,66,64,53,68,46,4,47,52,65,51,69,3,2,21,63,28,7,25,1,41,5,11,44,72,23,48,33,49,6,61,71,67,70,22,24,32,30,73,12,8,26,13,1
11,10,0,0,30,33,26,65,9,62,8,52,25,73,70,4,13,12,71,22,2,67,32,42,63,21,41,48,6,5,1,31,68,61,7,28,44,72,50,45,49,29,51,3,69,43,66,53,64,46,47,23,24,27,1
24,1,0,0,62,46,41,30,61,31,23,42,47,43,65,44,63,52,51,5,28,6,73,45,12,32,33,4,9,49,26,8,68,25,71,70,22,21,13,2,29,67,7,11,64,48,69,3,66,53,27,72,10,50,1
5,11,0,0,66,23,65,46,44,22,7,73,41,6,53,12,47,64,61,27,13,67,3,2,68,28,62,69,33,71,1,49,8,26,51,42,29,63,50,32,70,10,31,21,4,9,43,24,25,72,30,48,45,52,1
32,42,0,0,12,70,28,13,6,73,8,22,64,31,53,23,68,3,66,67,9,41,25,11,30,29,4,69,47,71,65,21,7,49,5,1,33,24,44,48,46,10,43,45,26,2,61,50,27,51,72,62,63,52,3
41,48,0,0,3,50,46,12,8,7,24,28,2,63,23,26,44,42,9,25,4,69,31,68,70,32,52,11,47,1,21,71,30,64,65,61,51,73,43,10,13,62,45,66,27,22,6,53,72,5,67,29,33,49,1
31,28,0,0,45,73,7,71,3,67,8,69,22,21,5,26,43,44,25,10,46,41,12,49,30,50,62,13,48,63,61,47,32,53,29,70,11,68,2,33,72,64,23,27,4,1,42,24,66,51,52,9,6,65,1
26,25,0,0,68,11,73,46,32,43,23,31,72,22,2,13,30,62,69,50,49,64,41,70,53,1,27,51,10,63,21,29,33,7,48,6,66,4,9,8,71,24,28,67,61,47,44,45,5,3,42,65,12,52,2
71,33,0,0,31,29,26,32,27,5,30,22,52,46,10,45,6,41,67,49,68,64,21,62,53,63,44,23,66,73,72,43,8,11,7,4,51,25,61,69,28,12,42,24,1,70,2,13,47,50,3,48,9,65,1
